id,placeId,googlePlaceId,descriptorType,targetPlaceId,targetDisplayName,spatialRelationship,straightLineDistanceMeters,travelDistanceMeters,containment
3776,1862,ChIJc7LdHN4B9YcRGd6SXUbhqXU,landmark,ChIJuUT93eAB9YcRtY6AD-Zc048,Kaiserhoff New Ulm,,230.43732,307.8233,
3777,1862,ChIJc7LdHN4B9YcRGd6SXUbhqXU,landmark,ChIJI-P9398B9YcR5uUgsVU_xNk,Pike Driving School,,180.17755,234.7544,
3778,1862,ChIJc7LdHN4B9YcRGd6SXUbhqXU,landmark,ChIJN62nq98B9YcRHkq5kYEAUm0,AMPI New Ulm MN,,222.15553,410.18103,
3779,1862,ChIJc7LdHN4B9YcRGd6SXUbhqXU,landmark,ChIJv_5hMt4B9YcRhU23tJCl2JU,Head Start,,142.96176,204.23746,
3780,1862,ChIJc7LdHN4B9YcRGd6SXUbhqXU,area,ChIJc7LdHN4B9YcRegItTAX54Yk,German Park,,,,WITHIN
3781,1863,ChIJVVVVib1NtVIRczU8m0pZwkA,landmark,ChIJbbX_cb1NtVIRJv2mN9xSDI4,Citizens Alliance Bank,AROUND_THE_CORNER,212.96669,261.03214,
3782,1863,ChIJVVVVib1NtVIRczU8m0pZwkA,landmark,ChIJH6NZcb1NtVIRsjTF6NUOeP0,Lake Lillian Library,AROUND_THE_CORNER,172.31354,208.94312,
3783,1863,ChIJVVVVib1NtVIRczU8m0pZwkA,landmark,ChIJObjYsqJNtVIRcXTgcpaMijM,Drex Mart,,401.3475,464.4098,
3784,1863,ChIJVVVVib1NtVIRczU8m0pZwkA,area,ChIJS8qCjr1NtVIRrWpC6LAXgYA,Lake Lillian City Park,,,,WITHIN
3785,1864,ChIJ5cR-8szLiocR3bOAoVpNvUs,landmark,ChIJ3XkT5ZXLiocRsSLmtP4B0K4,Ramsey Falls,BESIDE,62.869293,7.5412245,
3786,1864,ChIJ5cR-8szLiocR3bOAoVpNvUs,area,ChIJ8eoOy0rKiocRQtdV2IxzU4Q,Ramsey Park - Cansayapi Park-,,,,OUTSKIRTS
3787,1865,ChIJI7GQ3fLf9IcRdymrX4knwY4,landmark,ChIJD5JBMuLf9IcRF2wBeFkS2O4,Sleepy Eye Arena Associates Inc,AROUND_THE_CORNER,185.11028,314.2891,
3788,1865,ChIJI7GQ3fLf9IcRdymrX4knwY4,landmark,ChIJVeXAhQfg9IcR-yQygPU_7TY,Sleepy Eye Public Schools District,,321.37286,475.16125,
3789,1865,ChIJI7GQ3fLf9IcRdymrX4knwY4,landmark,ChIJS9UdbGjh9IcRR_SVSz_HR5I,Prasan Parmar DDS,,422.2794,479.78854,
3790,1865,ChIJI7GQ3fLf9IcRdymrX4knwY4,area,ChIJ3T5AW-Pf9IcR6ShMubIpRCg,Prairie View Park,,,,OUTSKIRTS
3791,1865,ChIJI7GQ3fLf9IcRdymrX4knwY4,area,ChIJCTyVXuLf9IcRq2DM2hCmAxs,Sunrise Manor,,,,NEAR
3792,1866,ChIJIdyodjXKiocRUdNXqPWZsds,landmark,ChIJ8eoOy0rKiocRrAAH9PgZdTs,Ramsey Park - Cansayapi Park-,WITHIN,100.21433,145.52704,
3793,1866,ChIJIdyodjXKiocRUdNXqPWZsds,landmark,ChIJU64ULvXLiocRFLR1loTJFoo,Ramsey Park Campground,,98.63342,175.62485,
3794,1866,ChIJIdyodjXKiocRUdNXqPWZsds,area,ChIJIdyodjXKiocRDNHPY3bj8zA,Redwood Falls Zoo,,,,WITHIN
3795,1866,ChIJIdyodjXKiocRUdNXqPWZsds,area,ChIJ8eoOy0rKiocRQtdV2IxzU4Q,Ramsey Park - Cansayapi Park-,,,,WITHIN
3796,1867,ChIJ-bl-Zxv-9IcRvHhUgj3lSls,landmark,ChIJ-bl-Zxv-9IcRi34Xd5jtqK4,New Ulm Vogel Fieldhouse,,180.3888,215.33348,
3797,1867,ChIJ-bl-Zxv-9IcRvHhUgj3lSls,landmark,ChIJYUbhlRz-9IcRXMvAeIVs3T8,Brown County Human Services,BESIDE,48.1628,44.321724,
3798,1867,ChIJ-bl-Zxv-9IcRvHhUgj3lSls,area,ChIJRdcCsgT-9IcRXHePgwGk8AU,Steinhauser Park,,,,OUTSKIRTS
