id,parkId,campgroundId,credit,title,altText,caption,url
335,,103,NPS Photo,Cabin Camp 5 Sleeper Cabins,Dark brown wooden cabins with orange roofs stand in a row. Tall green trees are behind them.,Cabin Camp 5 Sleeper Cabins,https://www.nps.gov/common/uploads/structured_data/2A1C10C7-D7DC-7A0D-F2D66D959CACDEC0.jpg
336,,103,NPS Photo,Cabin Camp 5 Dining Hall,A dark brown building with an orange roof stands among trees and a grassy lawn.,Cabin Camp 5 Dining Hall,https://www.nps.gov/common/uploads/structured_data/2A258B72-09ED-1A26-D33C4319DD154888.jpg
337,,103,NPS Photo,Cabin Camp 5 Outdoor Pavilion,A wooden pavilion shelters several wooden picnic tables. Green trees surround the pavilion,Cabin Camp 5 Outdoor Pavilion,https://www.nps.gov/common/uploads/structured_data/2A3238C1-E4AE-8025-4667A4B51C0382D4.jpg
338,,103,NPS Photo,Cabin Camp 5 Map,Cabins are split in two units - A and B. Between them is a fire ring and two ballfields.,Cabin Camp 5 Map,https://www.nps.gov/common/uploads/structured_data/2A3DFA09-F5CA-4AEB-BCE4939D38F9F707.jpg
339,,104,Nanette Nyce,Cacapon Junction Hiker-Biker Campsite,Campsite signs in front of a grassy area.,Cacapon Junction Hiker-Biker Campsite,https://www.nps.gov/common/uploads/structured_data/73B780A5-94F1-5728-060DC3209D60616F.jpg
340,,105,Warren Bielenberg,Cades Cove Campground,Wooded campsite with fall color surrounding a yellow tent.,Over 2 million visitors annually come to enjoy the scenic beauty of Cades Cove and its many historic structures.,https://www.nps.gov/common/uploads/structured_data/E7CE342C-BD83-08E8-1CEE96F4A8C7B3C2.jpg
341,,107,NPS/ E. Cowan,Calico Rocks Campsite,Campsite sign in a grassy area,Calico Rocks Campsite,https://www.nps.gov/common/uploads/structured_data/748FBAB4-C6BE-E090-9C7B4E7415DA5860.jpg
342,,108,,Callville Bay Tent Camping/picnicking site,Photo of a picnic table and fire ring in a cleared area for tent camping with trees.,,https://www.nps.gov/common/uploads/structured_data/2C2AAAB7-DF0F-6AA5-D02DA5A3C8931713.jpg
343,,108,,Callville Bay Campground Restrooms,Restroom facilities at Callville Bay Campground,,https://www.nps.gov/common/uploads/structured_data/64DE36A3-C5E9-7ED5-20578AD94F1FBBC9.jpg
344,,108,,Callville Bay Campground Access,Photo of paved drive around the campsites at Callville Bay Campground,,https://www.nps.gov/common/uploads/structured_data/64FBAA4C-D1B5-309A-0FE7AB2F61021B4A.jpg
345,,109,Callville Bay website,RV Park looking west,RV's sit in an open lot,Views from around Callville Bay RV Park,https://www.nps.gov/common/uploads/structured_data/B166FDA1-B2B8-93EB-B217829BBA17F9AA.jpg
346,,109,Callville Bay website,RV Park laundry and restrooms,A restroom and laundry facility,Views from around Callville Bay RV Park,https://www.nps.gov/common/uploads/structured_data/B17099C2-946A-5409-188B54D984A8D8BF.jpg
347,,109,Callville Bay website,RV Park laundry machines,A set of washers and dryers inside a laundry facility,Views from around Callville Bay RV Park,https://www.nps.gov/common/uploads/structured_data/B17B7FB1-96E1-01C9-15E984948934009F.jpg
348,,109,Callville Bay website,RV Park spaces,A RV sits parked in an open RV lot,Views from around Callville Bay RV Park,https://www.nps.gov/common/uploads/structured_data/B183EFA3-CEC5-963A-BC23FA0725E6EB8B.jpg
349,,109,Callville Bay website,RV Park Entrance,View looking at a palm tree and entrance station,Views from around Callville Bay RV Park,https://www.nps.gov/common/uploads/structured_data/B18B6758-B17C-D67B-6913ABEE8A1AEA78.jpg
350,,110,NPS Photo,Camp 4 Kiosk Area,Camp 4 kiosk building and bulletin board,Camp 4 Kiosk Building and Bulletin Board,https://www.nps.gov/common/uploads/structured_data/CDD18D8C-9C0D-55E1-5BEF5AC08E7F2487.jpg
351,,110,NPS Photo,Camp 4 Bear/Vehicle Sign,"An exhibit of a bear reaching into a car window and holding food, is set up near a parking lot.",A 'Keep Bears Wild' message on the outskirts of Camp 4,https://www.nps.gov/common/uploads/structured_data/F23CF175-9366-936A-05DF1ACA5B73217A.jpg
352,,110,NPS Photo,Camp 4 Campground with Tents,Tents in sites within Camp 4.,Camp 4 with tents,https://www.nps.gov/common/uploads/structured_data/CDB8A949-EEC1-1702-CDD835B1AA59914C.jpg
353,,110,NPS Photo,"Eastern, newer portion of Camp 4 Campground","Fire ring, food lockers, and bathhouse at Camp 4",Eastern portion of Camp 4,https://www.nps.gov/common/uploads/structured_data/9BBF6AD3-EDCB-12AB-26E90572D1D4BC45.jpg
354,,111,NPS Photo/John Zuke,Camp Greentop,A one story building with trees behind them and a totem poll in front.,The Camp Greentop Office features a colorful totem poll.,https://www.nps.gov/common/uploads/structured_data/F036B9CA-ECD9-94FC-42A3A023DD048653.jpg
355,,111,NPS Photo,Greentop Cabin,Wooden Cabin in the woods,One of 16 cabins for lodging at Camp Greentop,https://www.nps.gov/common/uploads/structured_data/FD1083D6-E196-C2E5-D662713CEE483ED5.jpg
356,,111,NPS Photo,Greentop Cabin Interior,The inside of a cabin shows bunk beds,Guests sleep on vinyl matresses atop wooden beds,https://www.nps.gov/common/uploads/structured_data/3C80C5A1-1DD8-B71B-0B9C820C91BD7438.jpg
357,,111,NPS Photo,Greentop Central Shower,Brown wooden building,Campers shower in one of the central shower buildings,https://www.nps.gov/common/uploads/structured_data/3C80C696-1DD8-B71B-0BD48EACCC306BAE.jpg
358,,112,NPS Photo,A Cabin at Historic Camp Misty Mount,Wooden cabin in the woods,Enjoy a stay in one of the rustic cabins at Camp Misty Mount.,https://www.nps.gov/common/uploads/structured_data/3C7FD8E6-1DD8-B71B-0B0F64325381DA64.jpg
359,,112,NPS Photo/ Jessyca Krueger,Misty Mount Pool,Bright blue pool surrounded by cement with a ramp and lift for accessibility.,The heated pool is accessible for people with mobility impairments.,https://www.nps.gov/common/uploads/structured_data/4917A403-FD1F-47A3-7E70A935314F3C78.jpg
360,,112,NPS Photo/ Jessyca Krueger,Comfort Station Facilities,Interior of a restroom with three stalls and sinks. It is clean and well lit.,The comfort stations were rehabilitated in 2021.,https://www.nps.gov/common/uploads/structured_data/493718AD-FDA5-1C89-22969F004FDD5645.jpg
361,,112,NPS Photo/John Zuke,3-Person Cabin Interior,Inside of a log cabin with 3 twin sized bed frames with blue plastic covers.,The smallest cabins sleep 3 people on twin-sized beds. Guests bring their own linens.,https://www.nps.gov/common/uploads/structured_data/49840FE5-EA79-8498-A51BD1734297E2ED.jpg
362,,113,Courtesy Camp Na-Bor-Lee,Camp Na-Bor-Lee Overview,"A few benches and a large shade structure in the background, surrounded by pine trees.","Overview of Camp Na-Bor-Lee, including a shade structure.",https://www.nps.gov/common/uploads/structured_data/C822B3DE-A02A-BB64-DF8C3E39E17D5E43.jpg
